"","id","age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","income"
"1",1,52,"Private",46788,"Bachelors",13,"Divorced","Craft-repair","Unmarried","White","Male",0,0,25,"United-States","<=50K"
"2",2,25,"Private",143280,"10th",6,"Never-married","Priv-house-serv","Own-child","White","Female",0,0,24,"United-States","<=50K"
"3",3,47,"Private",107682,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,48,"United-States","<=50K"
"4",4,29,"Private",351731,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"5",5,43,"Private",208277,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,45,"United-States",">50K"
"6",6,32,"Private",154087,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States","<=50K"
"7",7,63,"Private",172740,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"8",8,25,"NULL",214925,"10th",6,"Never-married","NULL","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"9",9,38,"Private",337130,"1st-4th",2,"Married-spouse-absent","Craft-repair","Not-in-family","White","Male",0,0,40,"Mexico","<=50K"
"10",10,45,"Local-gov",192684,"Some-college",10,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,38,"United-States","<=50K"
"11",11,28,"Federal-gov",188278,"Bachelors",13,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"12",12,36,"Self-emp-not-inc",109133,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K"
"13",13,50,"State-gov",45961,"Bachelors",13,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Male",6849,0,40,"United-States","<=50K"
"14",14,37,"Private",179137,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,39,"United-States","<=50K"
"15",15,62,"Private",210142,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"16",16,47,"Self-emp-not-inc",236111,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","Other","Male",0,0,55,"United-States",">50K"
"17",17,19,"Private",198943,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,35,"United-States","<=50K"
"18",18,36,"Private",49837,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"19",19,43,"Self-emp-not-inc",421837,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",7298,0,50,"Mexico",">50K"
"20",20,38,"Private",304651,"HS-grad",9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,60,"United-States","<=50K"
"21",21,23,"Private",60331,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,"United-States","<=50K"
"22",22,33,"Self-emp-not-inc",134737,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,35,"United-States","<=50K"
"23",23,33,"Self-emp-not-inc",24504,"HS-grad",9,"Separated","Craft-repair","Other-relative","White","Male",0,0,50,"United-States","<=50K"
"24",24,32,"NULL",199244,"10th",6,"Divorced","NULL","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"25",25,68,"Private",194746,"Doctorate",16,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"Cuba","<=50K"
"26",26,45,"Self-emp-not-inc",32172,"Some-college",10,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,50,"United-States","<=50K"
"27",27,51,"Private",252903,"10th",6,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United-States",">50K"
"28",28,29,"Private",138332,"Some-college",10,"Married-civ-spouse","Adm-clerical","Own-child","White","Female",0,0,6,"United-States","<=50K"
"29",29,73,"Private",349347,"7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,25,"United-States","<=50K"
"30",30,40,"Private",76625,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States","<=50K"
"31",31,19,"Private",248749,"Some-college",10,"Never-married","Sales","Own-child","White","Male",0,0,20,"United-States","<=50K"
"32",32,35,"Private",233571,"HS-grad",9,"Divorced","Other-service","Own-child","White","Female",0,0,50,"United-States","<=50K"
"33",33,59,"Private",426001,"HS-grad",9,"Married-spouse-absent","Adm-clerical","Unmarried","White","Female",0,0,20,"Puerto-Rico","<=50K"
"34",34,40,"Private",337456,"HS-grad",9,"Divorced","Protective-serv","Unmarried","White","Female",0,0,40,"United-States","<=50K"
"35",35,35,"Private",139012,"Bachelors",13,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,40,"Vietnam","<=50K"
"36",36,62,"NULL",113234,"Masters",14,"Married-civ-spouse","NULL","Wife","White","Female",0,0,40,"United-States","<=50K"
"37",37,60,"Self-emp-not-inc",282660,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"38",38,30,"Self-emp-not-inc",404062,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,15,"United-States",">50K"
"39",39,56,"Private",329059,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Italy",">50K"
"40",40,48,"Private",237525,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,65,"United-States",">50K"
"41",41,64,"State-gov",216160,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"Columbia",">50K"
"42",42,23,"Private",234663,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K"
"43",43,51,"Private",182314,"Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",">50K"
"44",44,39,"Private",127772,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",3103,0,44,"United-States",">50K"
"45",45,36,"Private",347491,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",">50K"
"46",46,53,"Private",97411,"5th-6th",3,"Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,40,"Laos","<=50K"
"47",47,22,"Private",181773,"HS-grad",9,"Never-married","Transport-moving","Own-child","Black","Male",0,0,40,"United-States","<=50K"
"48",48,26,"Private",101812,"HS-grad",9,"Never-married","Machine-op-inspct","Unmarried","White","Male",5721,0,40,"United-States","<=50K"
"49",49,52,"Private",141301,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
"50",50,39,"Private",188038,"Some-college",10,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
"51",51,38,"Private",76878,"11th",7,"Married-civ-spouse","Craft-repair","Husband","White","Male",5178,0,40,"United-States",">50K"
"52",52,59,"Private",144092,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"53",53,57,"Private",143030,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,30,"NULL","<=50K"
"54",54,70,"Local-gov",176493,"Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,17,"United-States","<=50K"
"55",55,38,"Private",186325,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,38,"United-States",">50K"
"56",56,31,"Private",188246,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States","<=50K"
"57",57,52,"Private",128272,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,14,"United-States","<=50K"
"58",58,43,"Private",206878,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,60,"United-States","<=50K"
"59",59,29,"Private",278637,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",3103,0,45,"United-States",">50K"
"60",60,39,"Private",183892,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States","<=50K"
"61",61,22,"Private",68678,"HS-grad",9,"Married-civ-spouse","Sales","Husband","Black","Male",0,0,40,"United-States","<=50K"
"62",62,41,"Private",185145,"HS-grad",9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"NULL",">50K"
"63",63,24,"State-gov",289909,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States","<=50K"
"64",64,22,"Private",203715,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,40,"United-States","<=50K"
"65",65,54,"Private",198546,"Masters",14,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,38,"United-States","<=50K"
"66",66,35,"Private",189922,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K"
"67",67,23,"NULL",218415,"Some-college",10,"Never-married","NULL","Own-child","White","Female",0,0,10,"United-States","<=50K"
"68",68,28,"Private",104024,"Some-college",10,"Never-married","Sales","Other-relative","White","Female",0,0,40,"United-States","<=50K"
"69",69,44,"Private",340885,"Bachelors",13,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1977,40,"United-States",">50K"
"70",70,31,"Private",209448,"10th",6,"Married-civ-spouse","Farming-fishing","Husband","White","Male",2105,0,40,"Mexico","<=50K"
"71",71,23,"State-gov",186634,"12th",8,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States","<=50K"
