"","SalesOrderID","RevisionNumber","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","PurchaseOrderNumber","AccountNumber","CustomerID","ShipToAddressID","BillToAddressID","ShipMethod","CreditCardApprovalCode","SubTotal","TaxAmt","Freight","TotalDue","Comment","rowguid","ModifiedDate"
"1",71774,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71774","PO348186287","10-4020-000609",29847,1092,1092,"CARGO TRANSPORT 5",NA,880.3484,70.4279,22.0087,972.785,NA,"89E42CDC-8506-48A2-B89B-EB3E64E3554E","2008-06-08T00:00:00.0000000"
"2",71776,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71776","PO19952192051","10-4020-000106",30072,640,640,"CARGO TRANSPORT 5",NA,78.81,6.3048,1.9703,87.0851,NA,"8A3448C5-E677-4158-A29B-DD33069BE0B0","2008-06-08T00:00:00.0000000"
"3",71780,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71780","PO19604173239","10-4020-000340",30113,653,653,"CARGO TRANSPORT 5",NA,38418.6895,3073.4952,960.4672,42452.6519,NA,"A47665D2-7AC9-4CF3-8A8B-2A3883554284","2008-06-08T00:00:00.0000000"
"4",71782,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71782","PO19372114749","10-4020-000582",29485,1086,1086,"CARGO TRANSPORT 5",NA,39785.3304,3182.8264,994.6333,43962.7901,NA,"F1BE45A5-5C57-4A50-93C6-5F8BE44CB7CB","2008-06-08T00:00:00.0000000"
"5",71783,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71783","PO19343113609","10-4020-000024",29957,992,992,"CARGO TRANSPORT 5",NA,83858.4261,6708.6741,2096.4607,92663.5609,NA,"7DB2329E-6446-42A8-8915-9C8370B68ED8","2008-06-08T00:00:00.0000000"
"6",71784,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71784","PO19285135919","10-4020-000448",29736,659,659,"CARGO TRANSPORT 5",NA,108561.8317,8684.9465,2714.0458,119960.824,NA,"CA31F324-2C32-4F8D-95EB-596E7F343027","2008-06-08T00:00:00.0000000"
"7",71796,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71796","PO17052159664","10-4020-000420",29660,1058,1058,"CARGO TRANSPORT 5",NA,57634.6342,4610.7707,1440.8659,63686.2708,NA,"917EF5BA-F32D-4563-8588-66DB0BCDC846","2008-06-08T00:00:00.0000000"
"8",71797,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71797","PO16501134889","10-4020-000142",29796,642,642,"CARGO TRANSPORT 5",NA,78029.6898,6242.3752,1950.7422,86222.8072,NA,"BB3FEE84-C8BF-4DD2-BCCA-675AB6A11C38","2008-06-08T00:00:00.0000000"
"9",71815,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71815","PO13021155785","10-4020-000276",30089,1034,1034,"CARGO TRANSPORT 5",NA,1141.5782,91.3263,28.5395,1261.444,NA,"2AA5F39B-1096-4A4B-B17B-F10504A397CE","2008-06-08T00:00:00.0000000"
"10",71816,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71816","PO12992180445","10-4020-000295",30027,1038,1038,"CARGO TRANSPORT 5",NA,3398.1659,271.8533,84.9541,3754.9733,NA,"E3C189E7-98DE-4C40-B6C2-0D1D13F9BB33","2008-06-08T00:00:00.0000000"
"11",71831,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71831","PO10295111084","10-4020-000322",30019,652,652,"CARGO TRANSPORT 5",NA,2016.3408,161.3073,50.4085,2228.0566,NA,"625D76FC-C26F-4149-BF24-939FB2BCCD77","2008-06-08T00:00:00.0000000"
"12",71832,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71832","PO10353140756","10-4020-000088",29922,639,639,"CARGO TRANSPORT 5",NA,35775.2113,2862.0169,894.3803,39531.6085,NA,"ADDB8620-432A-456E-8470-1BEDD4BC3457","2008-06-08T00:00:00.0000000"
"13",71845,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71845","PO2697119362","10-4020-000187",29938,1020,1020,"CARGO TRANSPORT 5",NA,41622.0511,3329.7641,1040.5513,45992.3665,NA,"E68F7EE9-C581-45CD-9C4F-386AEDA74D84","2008-06-08T00:00:00.0000000"
"14",71846,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71846","PO2378131604","10-4020-000635",30102,669,669,"CARGO TRANSPORT 5",NA,2453.7645,196.3012,61.3441,2711.4098,NA,"A86D90AD-D1C0-440D-9A57-5B763BF18234","2008-06-08T00:00:00.0000000"
"15",71856,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71856","PO16530177647","10-4020-000601",30033,1090,1090,"CARGO TRANSPORT 5",NA,602.1946,48.1756,15.0549,665.4251,NA,"05FEE073-0640-4A3C-914D-FE4AE6DA3D43","2008-06-08T00:00:00.0000000"
"16",71858,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71858","PO16153112278","10-4020-000186",29653,1019,1019,"CARGO TRANSPORT 5",NA,13823.7083,1105.8967,345.5927,15275.1977,NA,"5EF091E1-A0AF-437D-85ED-0B557C7923F7","2008-06-08T00:00:00.0000000"
"17",71863,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71863","PO16124166561","10-4020-000649",29975,1098,1098,"CARGO TRANSPORT 5",NA,3324.2759,265.9421,83.1069,3673.3249,NA,"3ED03B56-A4BF-4872-9471-BC6C7893EAB7","2008-06-08T00:00:00.0000000"
"18",71867,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71867","PO13050111529","10-4020-000160",29644,643,643,"CARGO TRANSPORT 5",NA,1059.31,84.7448,26.4828,1170.5376,NA,"29743C1B-D3AF-4CFE-BD2E-6DE436E3398F","2008-06-08T00:00:00.0000000"
"19",71885,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71885","PO6119130779","10-4020-000268",29612,649,649,"CARGO TRANSPORT 5",NA,550.386,44.0309,13.7597,608.1766,NA,"CAAD090D-56A6-444E-AF24-7BEE7605F120","2008-06-08T00:00:00.0000000"
"20",71895,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71895","PO3770176273","10-4020-000151",29584,1014,1014,"CARGO TRANSPORT 5",NA,246.7392,19.7391,6.1685,272.6468,NA,"07A17C0A-7F9A-4413-A035-519E5A4573BE","2008-06-08T00:00:00.0000000"
"21",71897,2,"2008-06-01T00:00:00.0000000","2008-06-13T00:00:00.0000000","2008-06-08T00:00:00.0000000",5,"False","SO71897","PO4785152479","10-4020-000223",29877,1026,1026,"CARGO TRANSPORT 5",NA,12685.8899,1014.8712,317.1472,14017.9083,NA,"F88B3458-E0CF-4248-9B72-1805351463B2","2008-06-08T00:00:00.0000000"
